"Table 6.2B. Compensation of Employees by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 06, 2015"
"Line"," ","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987"
"65","            Miscellaneous repair services",1466,1568,1720,2032,2333,2481,2776,3118,3835,4540,5097,5659,5751,5856,6762,7203,7444,7792
"66","            Motion pictures",1391,1400,1481,1595,1751,1874,2144,2423,3088,3617,3889,4334,4602,5119,5689,6285,6706,7805
"67","            Amusement and recreation services",2658,2894,3234,3680,4145,4578,5158,5734,6674,7540,8539,9450,10375,11320,12185,12985,14060,15339
"68","            Health services",18136,21232,25302,29325,34380,40888,46499,52986,61266,70001,81966,95455,109702,121004,131370,141450,154191,176030
"69","            Legal services",1979,2299,2740,3393,4008,4752,5508,6410,7256,8611,10342,12444,15088,17698,20479,23615,27337,32850
"70","            Educational services",6830,7686,8695,9268,9908,10485,10920,11250,12118,13392,15029,16811,18378,20472,22631,24642,26404,28928
"71","            Social services and membership organizations",9968,10874,11709,12968,14119,15720,16823,18460,20882,22953,25564,27579,29220,32105,35040,37495,41308,45095
"72","                Social services","---","---","---","---","---",4842,5507,6061,7174,8233,9409,10379,10870,12409,13806,15575,17499,19591
"73","                Membership organizations","---","---","---","---","---",10878,11316,12399,13708,14719,16155,17200,18350,19696,21235,21920,23809,25505
"74","            Miscellaneous professional services",6352,6790,7635,8901,10182,11253,12353,14114,16611,19718,22944,26372,29133,31952,36005,40376,44018,48305
"75","            Private households",4501,4555,4637,4819,4588,4634,5411,5931,6538,6378,6103,6163,6250,6283,7292,7341,7739,7729
"76","    Government",142322,156679,171163,183805,199231,219905,234709,252463,274924,297765,328004,360828,388895,413704,444477,480853,509417,539498
"77","        Federal",64343,68887,73494,76365,81059,87009,92025,97382,104767,111056,122163,136617,146900,154085,165133,175435,179735,184833
"78","            General government",55172,58823,62622,64575,67770,72534,76454,80865,87130,91950,100753,112226,121997,127713,136537,144950,149079,153078
"79","                Civilian",26508,29832,32003,33768,36323,40006,43272,46580,51086,53916,58502,62602,66155,68848,73417,77550,78454,79672
"80","                Military 2",28664,28991,30619,30807,31447,32528,33182,34285,36045,38034,42251,49624,55842,58865,63120,67400,70625,73406
"81","            Government enterprises",9171,10064,10872,11790,13289,14475,15572,16517,17636,19106,21410,24391,24903,26372,28596,30485,30656,31755
"82","        State and local",77979,87792,97668,107440,118173,132895,142684,155081,170157,186708,205841,224211,241995,259620,279344,305418,329682,354665
"83","            General government",73162,82369,91710,100722,110505,124036,133325,145086,158917,174201,191596,208455,224835,240880,259206,283195,305829,329571
"84","                Education",40466,45341,50174,54568,59433,66784,72136,78030,83855,91716,99710,108228,116312,123749,133840,146981,159928,171503
"85","                Other",32696,37028,41537,46154,51072,57252,61189,67056,75062,82485,91886,100228,108523,117132,125366,136215,145902,158067
"86","            Government enterprises",4817,5424,5958,6718,7668,8859,9359,9995,11240,12507,14245,15755,17160,18739,20139,22223,23853,25095
"87","Rest of the world",23,21,-1,-13,-22,-43,-37,-62,-99,-71,-98,-156,-192,-173,-211,-215,-1782,-1356
"88","    Receipts from the rest of the world",251,268,282,295,330,357,385,402,404,430,465,511,540,574,619,646,908,994
"89","    Less:  Payments to the rest of the world",228,247,283,308,352,400,422,464,503,501,563,667,732,747,830,861,2690,2350
" ","Addenda:","","","","","","","","","","","","","","","","","",""
"90","  Households and institutions",32400,35596,38945,43010,47143,51965,57057,62370,69498,76925,86529,96844,107323,118128,129914,139539,152117,171035
"91","  Nonfarm business",460145,486010,536016,601618,658934,695201,777090,872932,996607,1129131,1238251,1368944,1430342,1517699,1682210,1811592,1929330,2062570
"Legend / Footnotes:"
"1. Beginning with 1987, reflects the reclassification of air couriers from trucking and warehousing to transportation by air."
"2. Includes Coast Guard."
"Note. Estimates in this table are based on the 1972 Standard Industrial Classification (SIC)."
